Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Bracelet style (product.metafields.custom.bracelet_style),CTW (product.metafields.custom.ctw),Diamond cut (product.metafields.custom.cut_2),Diamond ring setting (product.metafields.custom.diamond_ring_setting),Earring Style (product.metafields.custom.earring_style),Engraving (product.metafields.custom.engraving),Necklace pendant style (product.metafields.custom.necklace_pendant_style),Setting type (product.metafields.custom.setting_type),Stone (product.metafields.custom.stone),Style (product.metafields.custom.style),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Gemstone type (product.metafields.shopify.gemstone-type),Ring size (product.metafields.shopify.ring-size),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Included / United States,Price / United States,Compare At Price / United States,Status
lab-grown-diamond-stud-earrings-total-2-58-carat-vs1-d-color-igi-14k-gold-copy,Lab grown diamond stud earrings total 2.24 carat VS1 D Color  IGI 14k gold,"<p>The vivid D-white colour of these earrings will help you present yourself effectively. Make every single moment memorable with these gorgeous diamond-design earrings. Accessorize in style with these gold diamond earrings, which have a high-quality shine to optimize your look.</p>
<p> </p>
<p> </p>
<p> </p>
<table class=""woocommerce-product-attributes shop_attributes"">
<tbody>
<tr class=""woocommerce-product-attributes-item woocommerce-product-attributes-item--attribute_pa_metal-type"">
<th class=""woocommerce-product-attributes-item__label"">Metal Type</th>
<td class=""woocommerce-product-attributes-item__value"">
<p>14K Gold</p>
</td>
</tr>
<tr class=""woocommerce-product-attributes-item woocommerce-product-attributes-item--attribute_pa_metal-color"">
<th class=""woocommerce-product-attributes-item__label"">Metal Color</th>
<td class=""woocommerce-product-attributes-item__value"">
<p>White</p>
</td>
</tr>
<tr class=""woocommerce-product-attributes-item woocommerce-product-attributes-item--attribute_item-weight"">
<th class=""woocommerce-product-attributes-item__label"">Item Weight</th>
<td class=""woocommerce-product-attributes-item__value"">
<p>2.3</p>
</td>
</tr>
<tr class=""woocommerce-product-attributes-item woocommerce-product-attributes-item--attribute_total-carat-weight"">
<th class=""woocommerce-product-attributes-item__label"">Total Carat Weight</th>
<td class=""woocommerce-product-attributes-item__value"">
<p>2.24 CT</p>
</td>
</tr>
<tr class=""woocommerce-product-attributes-item woocommerce-product-attributes-item--attribute_pa_stone-type"">
<th class=""woocommerce-product-attributes-item__label"">Stone Type</th>
<td class=""woocommerce-product-attributes-item__value"">
<p>Lab-grown diamonds</p>
</td>
</tr>
<tr class=""woocommerce-product-attributes-item woocommerce-product-attributes-item--attribute_stone-shape"">
<th class=""woocommerce-product-attributes-item__label"">Stone Shape</th>
<td class=""woocommerce-product-attributes-item__value"">
<p>Round</p>
</td>
</tr>
<tr class=""woocommerce-product-attributes-item woocommerce-product-attributes-item--attribute_stone-cut"">
<th class=""woocommerce-product-attributes-item__label"">Stone Cut</th>
<td class=""woocommerce-product-attributes-item__value"">
<p>Excellent</p>
</td>
</tr>
<tr class=""woocommerce-product-attributes-item woocommerce-product-attributes-item--attribute_stone-color"">
<th class=""woocommerce-product-attributes-item__label"">Stone Color</th>
<td class=""woocommerce-product-attributes-item__value"">
<p>D</p>
</td>
</tr>
<tr class=""woocommerce-product-attributes-item woocommerce-product-attributes-item--attribute_stone-clarity"">
<th class=""woocommerce-product-attributes-item__label"">Stone Clarity</th>
<td class=""woocommerce-product-attributes-item__value"">
<p>VS1</p>
</td>
</tr>
<tr class=""woocommerce-product-attributes-item woocommerce-product-attributes-item--attribute_pa_diamond-type"">
<th class=""woocommerce-product-attributes-item__label"">Diamond Diameter Approximately</th>
<td class=""woocommerce-product-attributes-item__value"">
<p>6.58 mm each </p>
</td>
</tr>
</tbody>
</table>
<p> </p>",Doctor Diamond Jewelry,Apparel & Accessories > Jewelry > Rings,Diamond Studs,"Diamond Earrings, mothers-day-2026, Stud Diamond Earrings",true,Color,yellow,product.metafields.shopify.color-pattern,,,,,,,1100-0061,0.0,shopify,4,deny,manual,2400.00,2600.00,false,true,,,,,,https://cdn.shopify.com/s/files/1/0830/7313/8982/files/Lab_grown_diamond_stud_earrings_total_2.24_carat_VS1_D_Color_IGI_14k_gold.png?v=1776115145,1,"",false,,,,,,,,,,,,,,,2.58,round-1,,stud,,,prong,,,,yellow; white,,,,,,,,kg,,,true,,,true,,,active
lab-grown-diamond-stud-earrings-total-2-58-carat-vs1-d-color-igi-14k-gold-copy,,,,,,,,,white,,,,,,,,1100-0061,0.0,shopify,2,deny,manual,2400.00,2600.00,false,true,,,,,,https://cdn.shopify.com/s/files/1/0830/7313/8982/files/Bigstudlifestyle_a40032bb-bd35-44eb-85d7-57bd3a5f6e19.png?v=1776115145,2,Lab grown diamond stud earrings total 2.01 carat VS1 D Color IGI 14k gold - Global Diamond Montreal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
lab-grown-diamond-stud-earrings-total-2-58-carat-vs1-d-color-igi-14k-gold-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/7313/8982/files/1100-0000-scaled-1024x1024_eb2fc66c-47f5-450d-a44f-7ba6f4a265aa.jpg?v=1776115264,3,Lab grown diamond stud earrings total 2.01 carat VS1 D Color IGI 14k gold - Global Diamond Montreal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lab-grown-diamond-stud-earrings-total-1-40-carat-vs1-d-color-14k-gold-copy,Lab grown diamond stud earrings total 1.48 carat VS1 E-F Color 14k gold,"<p>The vivid D-white colour of these earrings will help you present yourself effectively. Make every single moment memorable with these gorgeous diamond-design earrings. Accessorize in style with these gold diamond earrings, featuring a high-quality shine to enhance your look.</p>
<p><br><meta charset=""utf-8""></p>
<p> </p>
<table class=""woocommerce-product-attributes shop_attributes"">
<tbody>
<tr class=""woocommerce-product-attributes-item woocommerce-product-attributes-item--attribute_pa_metal-type"">
<th class=""woocommerce-product-attributes-item__label"">Metal Type</th>
<td class=""woocommerce-product-attributes-item__value"">
<p>14K Gold</p>
</td>
</tr>
<tr class=""woocommerce-product-attributes-item woocommerce-product-attributes-item--attribute_pa_metal-color"">
<th class=""woocommerce-product-attributes-item__label"">Metal Color</th>
<td class=""woocommerce-product-attributes-item__value"">
<p>White</p>
</td>
</tr>
<tr class=""woocommerce-product-attributes-item woocommerce-product-attributes-item--attribute_item-weight"">
<th class=""woocommerce-product-attributes-item__label"">Item Weight</th>
<td class=""woocommerce-product-attributes-item__value"">
<p>1.8</p>
</td>
</tr>
<tr class=""woocommerce-product-attributes-item woocommerce-product-attributes-item--attribute_total-carat-weight"">
<th class=""woocommerce-product-attributes-item__label"">Total Carat Weight</th>
<td class=""woocommerce-product-attributes-item__value"">
<p>1.48 CT</p>
</td>
</tr>
<tr class=""woocommerce-product-attributes-item woocommerce-product-attributes-item--attribute_pa_stone-type"">
<th class=""woocommerce-product-attributes-item__label"">Stone Type</th>
<td class=""woocommerce-product-attributes-item__value"">
<p>Lab-grown diamonds</p>
</td>
</tr>
<tr class=""woocommerce-product-attributes-item woocommerce-product-attributes-item--attribute_stone-shape"">
<th class=""woocommerce-product-attributes-item__label"">Stone Shape</th>
<td class=""woocommerce-product-attributes-item__value"">
<p>Round</p>
</td>
</tr>
<tr class=""woocommerce-product-attributes-item woocommerce-product-attributes-item--attribute_stone-color"">
<th class=""woocommerce-product-attributes-item__label"">Stone Color</th>
<td class=""woocommerce-product-attributes-item__value"">
<p>E-F</p>
</td>
</tr>
<tr class=""woocommerce-product-attributes-item woocommerce-product-attributes-item--attribute_stone-clarity"">
<th class=""woocommerce-product-attributes-item__label"">Stone Clarity</th>
<td class=""woocommerce-product-attributes-item__value"">
<p>VS</p>
</td>
</tr>
<tr class=""woocommerce-product-attributes-item woocommerce-product-attributes-item--attribute_pa_diamond-type"">
<th class=""woocommerce-product-attributes-item__label"">Diamond Diameter Approximately</th>
<td class=""woocommerce-product-attributes-item__value"">
<p>5.56 mm each</p>
</td>
</tr>
</tbody>
</table>
<p><br></p>",Doctor Diamond Jewelry,Apparel & Accessories > Jewelry > Rings,Diamond Studs,"Diamond Earrings, mothers-day-2026, Stud Diamond Earrings",true,Choose Color,White Gold,,,,,,,,1100-0062,0.0,shopify,3,deny,manual,1380.00,1600.00,false,true,,,,,,https://cdn.shopify.com/s/files/1/0830/7313/8982/files/Lab_grown_diamond_stud_earrings_total_1.48_carat_VS1_E-F_Color_14k_gold.png?v=1776114830,1,"",false,,,,,,,,,,,,,,,1.48,round-1,,stud,,,prong,,,,,,,,,,,,kg,,,true,,,true,,,active
lab-grown-diamond-stud-earrings-total-1-40-carat-vs1-d-color-14k-gold-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/7313/8982/files/ChatGPTImageApr3_2025_02_50_04PM.png?v=1776114877,2,Lab grown diamond stud earrings total 1.40 carat VS1 D Color 14k gold - Global Diamond Montreal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lab-grown-diamond-stud-earrings-total-1-40-carat-vs1-d-color-14k-gold-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/7313/8982/files/1100-0000-scaled-1024x1024_eb2fc66c-47f5-450d-a44f-7ba6f4a265aa.jpg?v=1776115264,3,Lab grown diamond stud earrings total 2.01 carat VS1 D Color IGI 14k gold - Global Diamond Montreal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-00-carat-ctw-lab-grown-diamond-pendant-in-14k-white-gold-glistening-with-sparkle-copy,"1.81 Carat (ctw) Lab-Grown Diamond Pendant in 14k White Gold, Glistening with Sparkle","<p>The fine finish of this white gold pendant is sure to make a big impression as a gift for an anniversary or upcoming birthday. Additionally, this fashion-forward diamond jewelry piece boasts attractive, handcrafted features and is crafted from the finest quality diamonds. The appealing round-shaped diamond provides a winning look for everyday occasions.</p>
<table width=""100%"" style=""width: 99.9839%;"">
<tbody>
<tr>
<td style=""width: 32.2035%;""> Metal Type</td>
<td style=""width: 67.5046%;"">Gold 14K</td>
</tr>
</tbody>
</table>
<table width=""100%"" style=""width: 99.9839%;"">
<tbody>
<tr>
<td style=""width: 32.636%;""> Diamond Color</td>
<td style=""width: 67.0722%;"">D</td>
</tr>
</tbody>
</table>
<table width=""100%"" style=""width: 99.9839%;"">
<tbody>
<tr>
<td style=""width: 32.5575%;""> Diamond Clarity</td>
<td style=""width: 67.1506%;"">VS1</td>
</tr>
</tbody>
</table>
<table width=""100%"" style=""width: 99.9839%;"">
<tbody>
<tr>
<td style=""width: 32.5575%;""> Total Carat Weight</td>
<td style=""width: 67.1506%;"">1.81</td>
</tr>
</tbody>
</table>
<p style=""padding-left: 40px;""><br>Perks<br><br></p>
<ul>
<li>30-day money back: hassle-free returns.</li>
<li>Free, Secure, insured shipping with FEDEX or CANADA POST.</li>
<li>A tracking number will be sent by email when your order is shipped.</li>
<li>Lifetime manufacturer's defect warranty included.</li>
</ul>",Doctor Diamond Jewelry,Uncategorized,Diamond Pendant,"14k GOLD, mothers-day-2026",false,Length,"16""",,,,,,,,1400-0045,1600.0,shopify,1,deny,manual,2200.00,1600.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0830/7313/8982/files/1400-0001Box.png?v=1768522918,1,"1.00 Carat (ctw) Lab-Grown Diamond Pendant in 14k White Gold, Glistening with Sparkle - Global Diamond Montreal",false,,,,,,,,,,,,,,,1.81,round-1,,,,solitary,prong,,,,,,,,,,,,kg,,,true,,,true,,,draft
1-00-carat-ctw-lab-grown-diamond-pendant-in-14k-white-gold-glistening-with-sparkle-copy,,,,,,,,,"18""",,,,,,,,1400-0045-1,1600.0,shopify,1,deny,manual,2300.00,1600.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/7313/8982/files/1400-0001Live.png?v=1768522920,2,"1.00 Carat (ctw) Lab-Grown Diamond Pendant in 14k White Gold, Glistening with Sparkle - Global Diamond Montreal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
lab-grown-diamond-stud-earrings-total-1-50-carat-vs1-d-color-14k-gold-copy,Lab grown diamond stud earrings total 1.40 carat VS1 D Color 14k gold,"<p>The vivid D-white colour of these earrings will help you present yourself effectively. Make every single moment memorable with these gorgeous diamond-design earrings. Accessorize in style with these gold diamond earrings, featuring a high-quality shine to enhance your look.</p>
<p><br><meta charset=""utf-8""></p>
<p> </p>
<table class=""woocommerce-product-attributes shop_attributes"">
<tbody>
<tr class=""woocommerce-product-attributes-item woocommerce-product-attributes-item--attribute_pa_metal-type"">
<th class=""woocommerce-product-attributes-item__label"">Metal Type</th>
<td class=""woocommerce-product-attributes-item__value"">
<p>14K Gold</p>
</td>
</tr>
<tr class=""woocommerce-product-attributes-item woocommerce-product-attributes-item--attribute_pa_metal-color"">
<th class=""woocommerce-product-attributes-item__label"">Metal Color</th>
<td class=""woocommerce-product-attributes-item__value"">
<p>White</p>
</td>
</tr>
<tr class=""woocommerce-product-attributes-item woocommerce-product-attributes-item--attribute_item-weight"">
<th class=""woocommerce-product-attributes-item__label"">Item Weight</th>
<td class=""woocommerce-product-attributes-item__value"">
<p>1.8</p>
</td>
</tr>
<tr class=""woocommerce-product-attributes-item woocommerce-product-attributes-item--attribute_total-carat-weight"">
<th class=""woocommerce-product-attributes-item__label"">Total Carat Weight</th>
<td class=""woocommerce-product-attributes-item__value"">
<p>1.40 CT</p>
</td>
</tr>
<tr class=""woocommerce-product-attributes-item woocommerce-product-attributes-item--attribute_pa_stone-type"">
<th class=""woocommerce-product-attributes-item__label"">Stone Type</th>
<td class=""woocommerce-product-attributes-item__value"">
<p>Lab-grown diamonds</p>
</td>
</tr>
<tr class=""woocommerce-product-attributes-item woocommerce-product-attributes-item--attribute_stone-shape"">
<th class=""woocommerce-product-attributes-item__label"">Stone Shape</th>
<td class=""woocommerce-product-attributes-item__value"">
<p>Round</p>
</td>
</tr>
<tr class=""woocommerce-product-attributes-item woocommerce-product-attributes-item--attribute_stone-cut"">
<th class=""woocommerce-product-attributes-item__label"">Stone Cut</th>
<td class=""woocommerce-product-attributes-item__value"">
<p>Excellent</p>
</td>
</tr>
<tr class=""woocommerce-product-attributes-item woocommerce-product-attributes-item--attribute_stone-color"">
<th class=""woocommerce-product-attributes-item__label"">Stone Color</th>
<td class=""woocommerce-product-attributes-item__value"">
<p>D</p>
</td>
</tr>
<tr class=""woocommerce-product-attributes-item woocommerce-product-attributes-item--attribute_stone-clarity"">
<th class=""woocommerce-product-attributes-item__label"">Stone Clarity</th>
<td class=""woocommerce-product-attributes-item__value"">
<p>VS1</p>
</td>
</tr>
<tr class=""woocommerce-product-attributes-item woocommerce-product-attributes-item--attribute_pa_diamond-type"">
<th class=""woocommerce-product-attributes-item__label"">Diamond Diameter Approximately</th>
<td class=""woocommerce-product-attributes-item__value"">
<p>5.69 MM Each</p>
</td>
</tr>
</tbody>
</table>
<p><br></p>",Doctor Diamond Jewelry,Apparel & Accessories > Jewelry > Rings,Diamond Studs,"Diamond Earrings, mothers-day-2026, Stud Diamond Earrings",true,Choose Color,White Gold,,,,,,,,1100-0058,0.0,shopify,4,deny,manual,1530.00,1800.00,false,true,,,,,,https://cdn.shopify.com/s/files/1/0830/7313/8982/files/Lab_grown_diamond_stud_earrings_total_1.40_carat_VS1_D_Color_14k_gold.png?v=1776114802,1,"",false,,,,,,,,,,,,,,,1.54,round-1,,stud,,,prong,,,,,,,,,,,,kg,,,true,,,true,,,active
lab-grown-diamond-stud-earrings-total-1-50-carat-vs1-d-color-14k-gold-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/7313/8982/files/ChatGPTImageApr3_2025_02_50_04PM.png?v=1776114877,2,Lab grown diamond stud earrings total 1.40 carat VS1 D Color 14k gold - Global Diamond Montreal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
